,total time,count,normalized total time,normalized count
Parent affect:positive 2,15.0,4,0.05040542765645005,0.013441447375053346
Parent affect:positive 3,3.64,1,0.012231717111298546,0.0033603618437633366
Parent affective touch:affective touch,11.600000000000001,3,0.03898019738765471,0.01008108553129001
Parent gaze:child,55.86,29,0.18770981259261998,0.09745049346913676
Parent gaze:props,171.4,51,0.5759660200210359,0.17137845403193017
Parent gaze:robot,47.24,37,0.15874349349938002,0.12433338821924345
Parent gesture:point at prop,4.28,4,0.01438234869130708,0.013441447375053346
Parent prop manipulation:parent,5.32,4,0.01787712500882095,0.013441447375053346
Parent utterance:utterance,70.9,54,0.2382496547228206,0.18145953956322017
Verbal scaffolding:affective,2.68,4,0.009005769741285743,0.013441447375053346
Verbal scaffolding:cognitive,31.06,17,0.10437283886728924,0.05712615134397672
Verbal scaffolding:technical,2.28,2,0.007661625003780407,0.006720723687526673
robot pointing:point at prop,21.267,8,0.07146481533131488,0.026882894750106693
robot text:other,7.5329999999999995,4,0.025313605769069214,0.013441447375053346
robot text:pick up,20.401,8,0.06855474197461583,0.026882894750106693
robot text:positive feedback,10.866,4,0.03651369179433241,0.013441447375053346
robot text:put down,29.532,11,0.09923820597001885,0.036963980281396705
robot text:song,42.4,1,0.14247934217556546,0.0033603618437633366
robot text:teach,8.8,3,0.029571184225117363,0.01008108553129001
robot text:try again,14.934000000000001,9,0.05018364377476167,0.03024325659387003
