,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
24,0,1,0,0,0,0,1,0,0,0,1,1,1,0,165.85999999999973
25,0,1,0,0,0,0,1,0,0,0,1,1,1,0,166.05999999999972
26,0,1,0,0,0,0,1,0,0,0,0,1,1,0,166.2599999999997
27,0,1,0,0,0,0,1,0,0,0,0,1,1,0,166.4599999999997
28,0,1,0,0,0,0,1,0,0,0,0,1,1,0,166.65999999999968
29,0,1,0,0,0,0,1,0,1,0,0,1,1,0,166.85999999999967
30,0,1,0,0,0,0,1,0,1,0,0,1,1,0,167.05999999999966
31,0,1,0,0,0,0,1,0,1,0,1,1,1,0,167.25999999999965
32,0,1,0,0,0,0,1,0,1,0,1,1,1,0,167.45999999999964
33,0,1,0,0,0,0,1,0,1,0,1,1,1,0,167.65999999999963
34,0,1,0,0,0,0,1,0,1,0,1,1,1,0,167.85999999999962
35,0,1,0,0,0,0,1,0,1,0,1,1,1,0,168.0599999999996
36,0,1,0,0,0,0,1,0,1,0,1,1,1,0,168.2599999999996
37,0,1,0,0,0,0,1,0,1,0,1,1,1,0,168.45999999999958
38,0,1,0,0,0,0,1,0,1,0,1,1,1,0,168.65999999999957
39,0,1,0,0,0,0,1,0,0,0,1,1,1,0,168.85999999999956
40,0,1,0,0,0,0,1,0,0,0,1,1,1,0,169.05999999999955
41,0,1,0,0,0,0,1,0,1,0,1,1,1,0,169.25999999999954
42,0,1,0,0,0,0,1,0,1,0,1,1,1,0,169.45999999999952
43,0,1,0,0,0,0,1,0,1,0,1,1,1,0,169.6599999999995
44,0,1,0,1,1,0,1,0,1,0,1,1,1,0,169.8599999999995
45,0,1,0,1,1,0,1,0,1,0,1,1,1,0,170.0599999999995
46,0,1,0,1,1,0,1,0,1,0,1,1,1,0,170.25999999999948
47,0,1,0,1,1,0,1,0,1,0,1,1,1,0,170.45999999999947
48,0,1,0,1,1,0,1,0,1,0,1,1,1,0,170.65999999999946
49,0,1,0,1,1,0,1,0,0,0,1,1,1,0,170.85999999999945
50,0,1,0,1,1,0,1,0,0,0,0,1,1,0,171.05999999999943
51,0,1,0,1,1,0,1,0,0,0,0,1,1,0,171.25999999999942
52,0,1,0,1,1,0,1,0,0,0,0,1,1,0,171.4599999999994
53,0,1,0,1,1,0,1,0,0,0,1,1,1,0,171.6599999999994
54,0,1,0,1,1,0,1,0,0,0,1,1,1,0,171.8599999999994
55,0,1,0,1,1,0,1,0,0,0,1,1,1,0,172.05999999999938
56,0,1,0,1,1,0,1,0,0,0,1,1,1,0,172.25999999999937
57,0,1,0,0,0,0,1,0,0,0,1,1,1,0,172.45999999999935
58,0,0,0,1,0,0,1,0,0,0,1,1,0,0,172.65999999999934
59,0,0,0,1,0,0,1,0,0,0,1,1,0,0,172.85999999999933
60,0,0,0,1,0,0,1,0,0,0,1,1,0,0,173.05999999999932
61,0,0,0,1,0,0,1,0,0,0,1,1,0,0,173.2599999999993
62,0,0,0,1,0,0,1,0,0,0,1,1,0,0,173.4599999999993
63,0,0,0,1,0,0,1,0,0,0,1,1,0,0,173.6599999999993
64,0,0,0,0,0,0,1,0,0,0,1,1,0,0,173.85999999999927
65,0,0,0,0,0,0,1,0,0,0,1,1,0,0,174.05999999999926
66,0,0,0,1,0,0,1,0,0,0,1,1,0,0,174.25999999999925
67,0,0,0,1,0,0,1,0,0,0,1,1,0,0,174.45999999999924
68,0,0,0,1,0,0,1,0,0,0,1,1,0,0,174.65999999999923
69,0,0,0,1,0,0,1,0,0,0,1,1,0,0,174.85999999999922
70,0,0,0,1,0,0,1,0,0,0,1,1,0,0,175.0599999999992
71,0,0,0,0,0,0,1,0,0,0,1,1,0,0,175.2599999999992
72,0,0,0,0,0,0,1,0,0,0,0,1,0,0,175.45999999999918
73,0,0,0,0,0,0,1,0,0,0,0,1,0,0,175.65999999999917
74,1,0,0,0,0,0,1,0,0,0,0,1,0,0,175.85999999999916
75,1,0,0,0,0,0,1,0,0,0,0,1,0,0,176.05999999999915
76,1,1,0,0,0,0,1,0,0,0,1,1,1,0,176.25999999999914
77,1,1,0,0,0,0,1,0,0,0,1,1,1,0,176.45999999999913
78,0,1,0,0,0,0,1,0,0,0,1,1,1,0,176.65999999999912
79,0,1,0,1,0,0,1,0,0,0,1,1,1,0,176.8599999999991
80,0,1,0,1,0,0,1,0,0,0,1,1,1,0,177.0599999999991
81,0,1,0,1,0,0,1,0,0,0,1,1,1,0,177.25999999999908
82,0,1,0,1,0,0,1,0,0,0,1,1,1,0,177.45999999999907
83,0,1,0,1,0,0,1,0,0,0,1,1,1,0,177.65999999999906
84,0,1,0,1,0,0,1,0,1,0,1,1,1,0,177.85999999999905
85,0,1,0,0,0,0,1,0,1,0,1,1,1,0,178.05999999999904
86,0,1,0,0,0,0,1,0,1,0,1,1,1,0,178.25999999999902
87,0,1,0,0,0,0,1,0,1,0,1,1,1,0,178.459999999999
88,0,1,0,0,0,0,1,0,0,0,1,1,1,0,178.659999999999
89,0,1,0,0,0,0,1,0,0,0,1,1,1,0,178.859999999999
90,0,1,0,1,0,0,1,0,0,0,1,1,1,0,179.05999999999898
91,0,1,0,1,0,0,1,0,0,0,1,1,1,0,179.25999999999897
92,0,1,0,1,0,0,1,0,0,0,1,1,1,0,179.45999999999896
93,0,1,0,1,0,0,1,0,0,0,0,1,1,0,179.65999999999894
94,0,1,0,1,0,0,1,0,0,0,0,1,1,0,179.85999999999893
95,0,1,0,1,0,0,1,0,0,0,0,0,1,0,180.05999999999892
96,0,1,0,1,0,0,1,0,0,0,1,0,1,0,180.2599999999989
97,0,1,0,1,0,0,1,0,0,0,1,0,1,0,180.4599999999989
98,0,1,0,1,0,0,1,0,0,0,1,0,1,0,180.6599999999989
99,0,1,0,0,0,0,1,0,0,0,1,0,1,0,180.85999999999888
100,0,1,0,0,0,0,1,0,0,0,1,0,1,0,181.05999999999887
101,0,1,0,0,0,0,1,0,0,0,1,0,1,0,181.25999999999885
102,0,1,0,0,0,0,1,0,0,0,1,0,1,0,181.45999999999884
103,0,1,0,0,0,0,1,0,0,0,1,0,1,0,181.65999999999883
104,0,1,0,0,0,0,1,0,0,0,1,0,1,0,181.85999999999882
105,0,1,0,0,0,0,1,0,0,0,1,0,1,0,182.0599999999988
106,0,1,0,0,0,0,1,0,0,0,1,0,1,0,182.2599999999988
107,0,1,0,0,0,0,1,0,0,0,1,0,1,0,182.4599999999988
108,0,1,0,0,0,0,1,0,0,0,1,0,1,0,182.65999999999877
109,0,1,0,0,0,0,1,0,0,0,1,0,1,0,182.85999999999876
110,0,1,0,0,0,0,1,0,0,0,1,0,1,0,183.05999999999875
111,0,1,0,0,0,0,1,0,0,0,1,0,1,0,183.25999999999874
112,0,1,0,0,0,0,1,0,0,0,1,0,1,0,183.45999999999873
113,0,1,0,0,0,0,1,0,0,0,1,0,1,0,183.65999999999872
114,0,1,0,0,0,0,1,0,0,0,1,0,1,0,183.8599999999987
115,0,1,0,0,0,0,1,0,0,0,1,0,1,0,184.0599999999987
116,0,1,0,0,0,0,1,0,0,0,0,0,1,0,184.25999999999868
117,0,1,0,0,0,0,1,0,0,0,0,0,1,0,184.45999999999867
118,0,1,0,0,0,0,1,0,1,0,0,0,1,0,184.65999999999866
119,0,1,0,0,0,0,1,0,1,0,1,0,1,0,184.85999999999865
120,0,1,0,0,0,0,1,0,1,0,1,0,1,0,185.05999999999864
121,0,1,0,0,0,0,1,0,1,0,1,0,1,0,185.25999999999863
122,0,1,0,0,0,0,1,0,1,0,1,0,1,0,185.45999999999862
123,0,1,0,0,0,0,1,0,1,0,1,0,1,0,185.6599999999986
124,0,1,0,0,0,0,1,0,0,0,1,0,1,0,185.8599999999986
125,0,1,0,0,0,0,1,0,0,0,1,0,1,0,186.05999999999858
126,0,1,0,0,0,0,1,0,0,0,1,0,1,0,186.25999999999857
127,0,1,0,0,0,0,1,0,0,0,1,0,1,0,186.45999999999856
128,0,1,0,0,0,0,1,0,0,0,1,0,1,0,186.65999999999855
129,0,1,0,0,0,0,1,0,0,0,1,0,1,0,186.85999999999854
130,0,1,0,0,0,0,1,0,0,0,1,0,1,0,187.05999999999852
131,0,1,0,0,0,0,1,0,0,0,1,0,1,0,187.2599999999985
132,0,1,0,0,0,0,1,0,0,0,1,0,1,0,187.4599999999985
133,0,1,0,0,0,0,1,0,0,0,1,0,1,0,187.6599999999985
134,0,1,0,0,0,0,1,0,0,0,1,0,1,0,187.85999999999848
135,0,1,0,0,0,0,1,0,0,0,1,0,1,0,188.05999999999847
136,0,1,0,0,0,0,1,0,0,0,1,0,1,0,188.25999999999846
137,0,1,0,0,0,0,1,0,0,0,1,0,1,0,188.45999999999844
138,0,1,0,0,0,0,1,0,0,0,0,0,1,0,188.65999999999843
139,0,1,0,0,0,0,1,0,0,0,1,0,1,0,188.85999999999842
140,0,1,0,0,0,0,1,0,0,0,1,0,1,0,189.0599999999984
141,0,1,0,0,0,0,1,0,0,0,1,0,1,0,189.2599999999984
142,0,1,0,0,0,0,1,0,0,0,1,0,1,0,189.4599999999984
143,0,1,0,0,0,0,1,0,0,0,1,0,1,0,189.65999999999838
144,0,1,0,0,0,0,1,0,0,0,1,0,1,0,189.85999999999837
145,0,1,0,0,0,0,1,0,0,0,1,0,1,0,190.05999999999835
146,0,1,0,0,0,0,1,0,0,0,1,0,1,0,190.25999999999834
147,0,1,0,0,0,0,1,0,0,0,1,0,1,0,190.45999999999833
148,0,1,0,0,0,0,1,0,0,0,1,0,1,0,190.65999999999832
149,0,1,0,0,0,0,1,0,0,0,1,0,1,0,190.8599999999983
150,0,1,0,0,0,0,1,0,0,0,1,0,1,0,191.0599999999983
