,feature,total time,count,normalized total time,normalized count,order,condition,participant,coder
86,Child affective touch,1.84,1,0.006724163134044731,0.0036544364858938755,1,r,103,SK
87,Child gaze,257.84000000000003,105,0.9422599035228769,0.3837158310188569,1,r,103,SK
88,Child gesture,6.16,5,0.022511328753106272,0.018272182429469378,1,r,103,SK
89,Child prop manipulation,95.6,25,0.34936412805145445,0.09136091214734689,1,r,103,SK
90,Child utterance,19.48,26,0.0711884227452127,0.09501534863324076,1,r,103,SK
91,Conversational turns,534.4200000000002,79,1.9530039467914055,0.28870048238561613,1,r,103,SK
92,Joint attention,138.42000000000004,102,0.5058470983774304,0.3727525215611753,1,r,103,SK
93,Mutual gaze,6.200000000000017,11,0.02265750621254209,0.04019880134483263,1,r,103,SK
94,Non-verbal scaffolding,22.16,22,0.08098231252740828,0.08039760268966525,1,r,103,SK
95,Parent affect,198.0,41,0.7235784242069874,0.1498318959216489,1,r,103,SK
96,Parent affective touch,1.64,1,0.005993275836865955,0.0036544364858938755,1,r,103,SK
97,Parent gaze,257.94,180,0.9426253471714662,0.6577985674608976,1,r,103,SK
98,Parent gesture,29.2,27,0.10670954538810115,0.09866978511913463,1,r,103,SK
99,Parent prop manipulation,14.919999999999998,4,0.054524192369536616,0.014617745943575502,1,r,103,SK
100,Parent utterance,126.24000000000001,64,0.4613360619792429,0.23388393509720803,1,r,103,SK
101,Verbal scaffolding,73.24,27,0.2676509282268674,0.09866978511913463,1,r,103,SK
102,robot pointing,33.946,14,0.12405350095015348,0.05116211080251425,1,r,103,SK
103,robot text,177.47,51,0.648552843151586,0.18637626078058764,1,r,103,SK
104,CP,110.19999999999999,22,0.40271890074550504,0.08039760268966525,1,r,103,SK
105,CPC,114.65999999999993,11,0.4190176874725915,0.04019880134483263,1,r,103,SK
106,MG,6.200000000000017,11,0.02265750621254209,0.04019880134483263,1,r,103,SK
107,PC,124.26000000000013,26,0.45410027773717343,0.09501534863324076,1,r,103,SK
108,PCP,185.3000000000001,20,0.6771670808361354,0.07308872971787751,1,r,103,SK
109,affective,18.28,10,0.06680309896214004,0.036544364858938756,1,r,103,SK
110,affective touch,3.48,2,0.012717438970910686,0.007308872971787751,1,r,103,SK
111,child,151.6,80,0.5540125712615115,0.29235491887151005,1,r,103,SK
112,cognitive,75.36,37,0.2753983335769624,0.13521414997807338,1,r,103,SK
113,correction,4.111,2,0.01502338839350972,0.007308872971787751,1,r,103,SK
114,missing data,3.76,3,0.01374068118696097,0.010963309457681626,1,r,103,SK
115,other,17.357,14,0.06343005408565999,0.05116211080251425,1,r,103,SK
116,other vocalization,7.16,12,0.026165765239000147,0.043853237830726505,1,r,103,SK
117,parent,26.760000000000005,20,0.09779272036252012,0.07308872971787751,1,r,103,SK
118,pick up,25.001,11,0.09136456658383278,0.04019880134483263,1,r,103,SK
119,point at prop,59.266,37,0.2165838327729864,0.13521414997807338,1,r,103,SK
120,positive 1,143.84,34,0.525654144130975,0.12425084052039176,1,r,103,SK
121,positive 2,116.96,33,0.42742289139014766,0.12059640403449788,1,r,103,SK
122,positive 3,22.08,5,0.08068995760853676,0.018272182429469378,1,r,103,SK
123,positive feedback,26.447,11,0.09664888174243531,0.04019880134483263,1,r,103,SK
124,props,219.16000000000008,161,0.8009063002485021,0.5883642742289139,1,r,103,SK
125,put down,15.611999999999998,7,0.05705306241777518,0.025581055401257127,1,r,103,SK
126,robot,367.2,155,1.341909077620231,0.5664376553135507,1,r,103,SK
127,song,67.258,1,0.24579008916825026,0.0036544364858938755,1,r,103,SK
128,teach,24.058,10,0.08791843297763485,0.036544364858938756,1,r,103,SK
129,technical,1.76,2,0.006431808215173221,0.007308872971787751,1,r,103,SK
130,try again,7.666,4,0.02801491010086245,0.014617745943575502,1,r,103,SK
131,utterance,134.8,75,0.49261803829849443,0.2740827364420407,1,r,103,SK
132,Child affect:positive 1,42.4,16,0.15494810700190031,0.05847098377430201,1,r,103,SK
133,Child affect:positive 2,26.2,11,0.09574623593041953,0.04019880134483263,1,r,103,SK
134,Child affect:positive 3,16.28,4,0.0594942259903523,0.014617745943575502,1,r,103,SK
135,Child affective touch:affective touch,1.84,1,0.006724163134044731,0.0036544364858938755,1,r,103,SK
136,Child gaze:child,0.92,1,0.0033620815670223655,0.0036544364858938755,1,r,103,SK
137,Child gaze:parent,11.6,14,0.04239146323636895,0.05116211080251425,1,r,103,SK
138,Child gaze:props,87.44,45,0.3195439263265605,0.1644496418652244,1,r,103,SK
139,Child gaze:robot,157.88,45,0.576962432392925,0.1644496418652244,1,r,103,SK
140,Child gesture:other,1.76,2,0.006431808215173221,0.007308872971787751,1,r,103,SK
141,Child gesture:point at prop,4.4,3,0.016079520537933052,0.010963309457681626,1,r,103,SK
142,Child prop manipulation:child,95.6,25,0.34936412805145445,0.09136091214734689,1,r,103,SK
143,Child utterance:other vocalization,6.92,11,0.02528870048238562,0.04019880134483263,1,r,103,SK
144,Child utterance:utterance,12.559999999999999,15,0.04589972226282707,0.05481654728840813,1,r,103,SK
145,Conversational turns:CP,110.19999999999999,22,0.40271890074550504,0.08039760268966525,1,r,103,SK
146,Conversational turns:CPC,114.65999999999993,11,0.4190176874725915,0.04019880134483263,1,r,103,SK
147,Conversational turns:PC,124.26000000000013,26,0.45410027773717343,0.09501534863324076,1,r,103,SK
148,Conversational turns:PCP,185.3000000000001,20,0.6771670808361354,0.07308872971787751,1,r,103,SK
149,Joint attention:child,0.7599999999999909,1,0.002777371729279312,0.0036544364858938755,1,r,103,SK
150,Joint attention:parent,0.12000000000000455,1,0.00043853237830728166,0.0036544364858938755,1,r,103,SK
151,Joint attention:props,46.140000000000086,50,0.16861569945914373,0.18272182429469377,1,r,103,SK
152,Joint attention:robot,91.39999999999996,50,0.3340154948107001,0.18272182429469377,1,r,103,SK
153,Mutual gaze:MG,6.200000000000017,11,0.02265750621254209,0.04019880134483263,1,r,103,SK
154,Non-verbal scaffolding:cognitive,20.4,20,0.07455050431223505,0.07308872971787751,1,r,103,SK
155,Non-verbal scaffolding:technical,1.76,2,0.006431808215173221,0.007308872971787751,1,r,103,SK
156,Parent affect:positive 1,101.44,18,0.3707060371290747,0.06577985674608976,1,r,103,SK
157,Parent affect:positive 2,90.76,22,0.33167665545972813,0.08039760268966525,1,r,103,SK
158,Parent affect:positive 3,5.8,1,0.021195731618184475,0.0036544364858938755,1,r,103,SK
159,Parent affective touch:affective touch,1.64,1,0.005993275836865955,0.0036544364858938755,1,r,103,SK
160,Parent gaze:child,54.32,53,0.19850898991375532,0.1936851337523754,1,r,103,SK
161,Parent gaze:parent,0.12,1,0.000438532378307265,0.0036544364858938755,1,r,103,SK
162,Parent gaze:props,85.58,66,0.31274667446279786,0.24119280806899576,1,r,103,SK
