,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
161,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,43.719999999999885
162,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,43.91999999999989
163,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,44.11999999999988
164,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,44.31999999999988
165,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,44.51999999999988
166,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,44.719999999999885
167,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,44.919999999999874
168,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,45.11999999999988
169,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,45.31999999999988
170,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,45.51999999999988
171,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,45.71999999999987
172,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,45.919999999999874
173,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,46.11999999999988
174,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,46.31999999999988
175,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,46.51999999999987
176,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,46.71999999999987
177,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,46.919999999999874
178,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,47.11999999999988
179,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,47.319999999999865
180,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,47.51999999999987
181,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,47.71999999999987
182,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,47.919999999999874
183,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,48.11999999999986
184,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,48.319999999999865
185,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,48.51999999999987
186,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,48.71999999999987
187,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,48.91999999999986
188,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,49.11999999999986
189,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,49.319999999999865
190,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,49.51999999999987
191,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,49.71999999999986
192,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,49.91999999999986
193,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,50.11999999999986
194,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,50.319999999999865
195,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,50.519999999999854
196,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,50.71999999999986
197,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,50.91999999999986
198,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,51.11999999999986
199,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,51.31999999999985
200,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,51.519999999999854
201,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,51.71999999999986
202,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,51.91999999999986
203,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,52.11999999999985
204,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,52.31999999999985
205,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,52.519999999999854
206,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,52.71999999999986
207,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,52.919999999999845
208,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,53.11999999999985
209,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,53.31999999999985
210,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,53.519999999999854
211,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,53.71999999999984
212,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,53.919999999999845
213,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,54.11999999999985
214,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,54.31999999999985
215,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,54.51999999999984
216,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,54.71999999999984
217,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,54.919999999999845
218,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,55.11999999999985
219,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,55.31999999999984
220,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,55.51999999999984
221,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,55.71999999999984
222,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,55.919999999999845
223,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,56.119999999999834
224,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,56.31999999999984
225,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,56.51999999999984
226,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,56.71999999999984
227,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,56.91999999999983
228,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,57.119999999999834
229,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,57.31999999999984
230,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,57.51999999999984
231,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,57.71999999999983
232,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,57.91999999999983
233,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,58.119999999999834
234,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,58.31999999999984
235,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,58.519999999999825
236,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,58.71999999999983
237,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,58.91999999999983
238,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,59.119999999999834
239,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,59.31999999999982
240,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,59.519999999999825
241,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,59.71999999999983
242,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,59.91999999999983
243,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,60.11999999999982
244,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,60.31999999999982
245,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,60.519999999999825
246,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,60.71999999999983
247,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,60.91999999999982
248,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,61.11999999999982
249,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,61.31999999999982
250,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,61.519999999999825
251,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,61.719999999999814
252,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,61.91999999999982
253,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,62.11999999999982
254,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,62.31999999999982
255,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,62.51999999999981
256,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,62.719999999999814
257,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,62.91999999999982
258,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,63.11999999999982
259,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,63.31999999999981
260,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,63.51999999999981
261,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,63.719999999999814
262,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,63.91999999999982
263,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,64.1199999999998
264,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,64.31999999999981
265,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,64.51999999999981
266,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,64.71999999999981
267,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,64.9199999999998
268,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,65.1199999999998
269,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,65.31999999999981
270,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,65.51999999999981
271,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,65.7199999999998
272,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,65.9199999999998
273,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,66.1199999999998
274,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,66.31999999999981
275,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,66.5199999999998
276,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,66.7199999999998
277,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,66.9199999999998
278,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,67.1199999999998
279,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,67.3199999999998
280,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,67.5199999999998
281,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,67.7199999999998
282,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,67.9199999999998
283,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,68.11999999999979
284,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,68.3199999999998
285,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,68.5199999999998
286,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,68.7199999999998
287,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,68.91999999999979
288,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,69.11999999999979
289,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,69.3199999999998
290,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,69.5199999999998
291,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,69.71999999999979
292,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,69.91999999999979
293,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,70.11999999999979
294,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,70.3199999999998
