,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 1,Child affect:positive 2,Child affect:positive 3,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:instruction translation,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gaze:child,Parent gaze:missing data,Parent affect:positive 1,Parent affect:positive 2,Parent affect:positive 3,Parent gesture:other,Parent gesture:point at prop,Parent affective touch:affective touch,Child prop manipulation:child,Child prop manipulation:missing data,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet,Mutual gaze:MG
robot text:song,"[1, 0.0001692054280698496]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.0012212495796516442]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 2.4204502983003353e-06]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
robot text:teach,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.00028198195325523305]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.0451016241023289]","[100, 100]","[4, 0.02753035501842006]","[4, 0.027530355018421448]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]"
robot text:pick up,"[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.004318072123914046]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.001817783205752008]","[100, 100]","[5, 0.05178156113874482]","[2, 0.004203528506020052]","[100, 100]","[5, 2.7923802174104305e-06]","[100, 100]","[5, 0.041299362121894875]","[5, 0.0001532971423333172]","[100, 100]","[1, 1.0]","[4, 5.894214808914811e-16]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.008751680027226158]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[2, 0.009272308590076007]","[1, 0.007007568305784161]","[2, 0.00025712262499430575]","[1, 1.0]","[5, 0.041299362121894875]","[1, 1.0]"
robot text:positive feedback,"[5, 0.03698932391562842]","[4, 0.009005647141938257]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.059455398377828914]","[100, 100]","[3, 0.026429481022748023]","[100, 100]","[3, 0.08670260373969604]","[3, 0.00011998426509853066]","[100, 100]","[3, 1.4183522051565966e-18]","[100, 100]","[5, 8.197108214730761e-08]","[5, 1.2463573764198579e-08]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 2.9715653019378193e-08]","[100, 100]","[3, 1.4422960205812744e-48]","[1, 1.563844455757378e-10]","[3, 0.01026901015222892]","[100, 100]","[3, 7.063363593528722e-09]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.3330374428440845]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[5, 8.197108214730761e-08]","[1, 1.0]"
robot text:put down,"[5, 0.9999999999999821]","[4, 0.9999999999995783]","[1, 0.9871945881828226]","[4, 0.9999999999998607]","[1, 1.0]","[5, 0.9999999999999958]","[1, 1.0]","[100, 100]","[1, 0.9992981608311562]","[100, 100]","[1, 0.9992548860728407]","[5, 0.020266181764782707]","[100, 100]","[1, 1.0]","[100, 100]","[3, 0.9999999997822208]","[1, 0.9961411302511324]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.9999971362347804]","[5, 0.00034555269706836066]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.999999999999947]","[1, 1.0]","[5, 0.9999999999988797]","[3, 0.9999999997822208]","[1, 0.9871945881828226]"
Conversational turns:PC,"[1, 0.1314875236962958]","[1, 0.0022014549924558543]","[5, 0.9999999997024016]","[1, 1.0]","[4, 0.007010492902321404]","[1, 1.0]","[1, 0.11140319858772003]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[5, 0.9999999999992295]","[100, 100]","[1, 1.0]","[1, 7.963959890952594e-08]","[1, 1.0]","[100, 100]","[3, 0.0027603599084913997]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.01803338686757543]","[100, 100]","[1, 1.0]","[2, 0.009272308590075998]","[1, 1.0]","[1, 1.0]","[5, 0.9999999999947442]","[100, 100]","[1, 0.07831145682707742]","[1, 1.0]","[1, 0.0011850471971527408]","[1, 1.0]","[5, 0.9999999997024016]"
Conversational turns:CP,"[1, 0.16470144610899684]","[1, 0.007007568305783237]","[2, 1.152213815583957e-10]","[1, 0.036560113216857176]","[1, 1.0]","[1, 1.0]","[5, 0.035316924388805904]","[100, 100]","[1, 0.06354033040288125]","[100, 100]","[5, 0.5934119874567971]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[3, 0.30686020584808177]","[3, 0.2680660283608925]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 0.07831145682707358]","[100, 100]","[1, 1.0]","[2, 0.04330849177905747]","[100, 100]","[1, 1.0]","[1, 0.007007568305784466]","[2, 0.026493890453490078]","[3, 0.032899493410912604]","[4, 0.06876735007731978]","[5, 0.285617396515911]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.30686020584808177]","[2, 1.152213815583957e-10]"
Conversational turns:PCP,"[1, 0.06178575815556622]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.06277584511486071]","[100, 100]","[4, 0.7405739634576285]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 5.940031744869823e-13]","[1, 1.0]","[100, 100]","[3, 1.5202551774641163e-05]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.03019738342231888]","[100, 100]","[1, 1.0]","[2, 0.00025712262499431345]","[1, 1.0]","[3, 0.00014779018381863015]","[1, 1.0]","[4, 0.08596256748864167]","[1, 0.013320910348197552]","[100, 100]","[1, 4.730430575731832e-05]","[1, 1.0]","[1, 1.0]"
Conversational turns:CPC,"[5, 0.034541397531256214]","[1, 2.4204502983004513e-06]","[2, 1.5960828819171143e-34]","[1, 0.000281981953255251]","[4, 8.60334668488007e-07]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.12008982241927639]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.002201454992455711]","[100, 100]","[1, 1.0]","[1, 2.4204502983004513e-06]","[1, 1.0]","[1, 1.0]","[4, 2.2526894971791386e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 1.5960828819171143e-34]"
Joint attention:tablet,"[1, 0.12752411518189838]","[3, 4.133929613644774e-05]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.5667727979495097]","[100, 100]","[2, 3.0389926656077958e-05]","[100, 100]","[5, 0.05088420250844327]","[2, 5.6464166116749634e-12]","[100, 100]","[1, 1.0]","[100, 100]","[100, 100]","[1, 7.972503226187466e-05]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 6.026531122058648e-09]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 0.02087763486096917]","[1, 1.0]","[2, 0.0013788984810830496]","[2, 0.009141723096799748]","[1, 0.05713677578460881]","[2, 0.016748046000366397]","[1, 1.0]","[100, 100]","[1, 1.0]"
Mutual gaze:MG,"[3, 0.9999999111012758]","[2, 0.9998704425307178]","[100, 100]","[2, 0.9999280298230597]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.999987775469324]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 0.9913581028018098]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 7.473414677652366e-43]","[1, 1.0]","[3, 0.9999998220563531]","[1, 1.0]","[3, 0.9999988841750014]","[1, 1.0]","[100, 100]"
