,Child utterance:utterance,Child gaze:props,Child gaze:robot,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child affect:positive 3,Child gesture:other,Child gesture:point at prop,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:cognitive,Verbal scaffolding:affective,Verbal scaffolding:technical,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Non-verbal scaffolding:affective,Parent gaze:child,Parent gaze:robot,Parent gaze:props,Parent affect:positive 2,Parent affect:positive 1,Parent affect:positive 3,Parent gesture:point at prop,Parent gesture:other,Parent affective touch:affective touch,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:try again,robot text:correction,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:robot,Joint attention:props,Mutual gaze:MG
Parent utterance:missing data,"[2, 0.0716125317565678]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.04131902177752271]","[2, 8.700118488370633e-06]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.479244890841257]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.014827550482835633]","[100, 100]","[1, 1.0]","[3, 0.0006254129642394357]","[1, 1.0]","[5, 5.155187185258415e-13]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 0.3333914633430902]","[1, 1.0]","[1, 1.0]"
Verbal scaffolding:cognitive,"[1, 0.11182763887927297]","[2, 0.017935506953934838]","[5, 0.056858525079178796]","[4, 0.8944693385807561]","[1, 0.4299931101169372]","[5, 0.10117561176046631]","[5, 0.016498532339416592]","[100, 100]","[2, 0.01805022906158907]","[4, 0.19082516203750038]","[1, 1.0]","[100, 100]","[1, 0.29505401516449403]","[4, 0.05105030650196103]","[1, 0.4944642751914623]","[4, 0.014851630074979364]","[5, 0.5495709878066379]","[3, 0.09951292168655554]","[2, 0.1882980461154951]","[4, 0.24137111380274068]","[5, 0.18323556107324257]","[4, 0.62155057786149]","[1, 0.1382510831430978]","[5, 0.8807289188658152]","[100, 100]","[4, 0.9307293122841471]","[4, 0.6445371278228078]","[4, 0.32964395129157176]","[5, 0.26342741601814895]","[100, 100]","[1, 0.9946110690857803]","[2, 0.6571500988209258]","[5, 0.0007914539167474538]","[1, 0.3927384029284845]","[4, 0.8748403994121228]","[4, 0.23385398425450984]","[1, 1.0]","[5, 0.18787709757538504]","[3, 0.2646889932898844]","[1, 0.8957204667795787]","[5, 0.09403936003378419]","[5, 0.19002126830498967]","[1, 0.1527745318900285]","[4, 0.877288585819623]"
Verbal scaffolding:affective,"[1, 0.3531912643174894]","[4, 0.28167856488888043]","[3, 0.5535587392155004]","[1, 1.0]","[1, 0.12401462528051806]","[3, 0.8331244192109084]","[3, 0.9650858656381461]","[100, 100]","[1, 1.0]","[5, 0.30043558997316794]","[1, 1.0]","[5, 0.7732525687913969]","[100, 100]","[5, 0.9900511467799726]","[1, 0.16227619984899233]","[4, 0.022458987774197102]","[2, 0.14543041503391374]","[5, 0.8079852543061429]","[3, 0.4197184093621673]","[2, 0.6936784166690464]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.23637415488000196]","[100, 100]","[2, 0.14543041503391374]","[5, 0.0046399341634929606]","[1, 1.0]","[1, 0.18883441062295703]","[100, 100]","[2, 0.9999999999999591]","[1, 0.09358975927391362]","[1, 1.0]","[5, 0.10503660109340318]","[3, 0.9539864621114443]","[2, 0.09232116166516921]","[3, 0.0015554781311754215]","[5, 0.29900057091093324]","[2, 0.12812300337880225]","[3, 0.5214787194828365]","[1, 0.025059932566088693]","[3, 0.5622451696322666]","[3, 0.019231338963241248]","[1, 1.0]"
Verbal scaffolding:technical,"[1, 0.10725538781049142]","[3, 0.005805784780846049]","[5, 0.004636327406558718]","[1, 1.0]","[1, 1.0]","[1, 0.04210431569072446]","[1, 1.0]","[100, 100]","[5, 4.4605572937481165e-09]","[4, 0.8813661996437914]","[1, 1.0]","[4, 0.2700748073449231]","[3, 0.005812988329151335]","[100, 100]","[3, 0.0906729165388905]","[2, 0.013250692835311152]","[1, 1.0]","[1, 0.17653788249829072]","[5, 0.09488420638714372]","[1, 0.1584571042832304]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.11918026379653085]","[100, 100]","[1, 1.0]","[4, 0.8939073008874044]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.045088503453956735]","[4, 0.9613313387818374]","[2, 0.007652466439402667]","[5, 4.018186484532833e-11]","[1, 1.0]","[3, 0.9535971027183501]","[3, 0.4383360218976109]","[4, 0.9570725980858784]","[1, 8.950440159719475e-05]","[5, 0.000559946684136671]","[5, 0.0002137922642314736]","[1, 1.0]"
Non-verbal scaffolding:cognitive,"[2, 0.029240308047534136]","[3, 0.06962922565739213]","[1, 0.5703229414040354]","[1, 1.0]","[3, 0.14168400791257982]","[5, 0.2052139676348219]","[2, 0.9700230336148465]","[100, 100]","[2, 0.007487051974250211]","[1, 0.0019653378769201695]","[1, 1.0]","[5, 0.16224762887726216]","[1, 0.004949748497359449]","[5, 0.9955056734569471]","[100, 100]","[4, 0.4343395469228891]","[1, 0.004868890811885473]","[4, 0.07237616291223843]","[2, 0.09352504898177655]","[1, 0.017523992103870976]","[5, 0.6691664660949472]","[1, 0.2414602855443031]","[1, 1.0]","[5, 0.0005317084677033768]","[100, 100]","[3, 0.47972770580800417]","[5, 0.8002627813907124]","[4, 0.08382881239284695]","[3, 0.083048536311503]","[100, 100]","[5, 0.6639156941738994]","[3, 0.22066832953907067]","[3, 0.2209115841745325]","[2, 0.632947802426186]","[1, 0.009233280952552572]","[2, 0.42254762784467603]","[1, 1.0]","[1, 0.35289204241993555]","[1, 0.08179445924949406]","[1, 0.01841982309712337]","[1, 0.10701215634745552]","[1, 0.536726573292539]","[1, 0.0015861000248021595]","[1, 1.0]"
Non-verbal scaffolding:technical,"[5, 0.5864702746583098]","[4, 0.0600207101505959]","[1, 0.49457265803892925]","[2, 0.039611769782497495]","[2, 0.13170897157247036]","[1, 0.31274850706738816]","[1, 0.09358975927391534]","[100, 100]","[1, 0.06609791165726842]","[2, 0.004495350425866023]","[1, 1.0]","[5, 0.45896700997644957]","[3, 0.29317040770119773]","[4, 0.0021901608994486913]","[4, 0.7818513616539373]","[100, 100]","[1, 1.0]","[1, 0.5004742212488509]","[1, 0.052272060485884696]","[5, 0.09851227021901292]","[1, 0.17135142107112267]","[1, 1.0]","[2, 0.7366392917814556]","[4, 0.0077679136685504056]","[100, 100]","[1, 0.09273086790100198]","[1, 0.23576167412805146]","[3, 4.704486448595145e-09]","[2, 0.11968128868083931]","[100, 100]","[1, 1.0]","[3, 0.02833707272725916]","[1, 0.17135142107112267]","[3, 0.028558579233736277]","[4, 0.06228522234840967]","[1, 1.0]","[1, 1.0]","[3, 0.1410615376194985]","[5, 0.9125856353187625]","[3, 0.09782763686920276]","[1, 0.052617451594870045]","[4, 0.1224443017699501]","[4, 0.1500642593443621]","[1, 1.0]"
Non-verbal scaffolding:affective,"[2, 0.0006965173877575715]","[5, 0.9146770684681751]","[1, 0.4333868609853496]","[5, 0.005384125156597711]","[2, 0.287505977427982]","[5, 0.4478808239871631]","[3, 0.2491747434553208]","[100, 100]","[1, 1.0]","[3, 0.2902916291491853]","[1, 1.0]","[4, 0.8510652671694074]","[4, 0.9924323383531922]","[1, 1.0]","[4, 0.7870239068542626]","[1, 1.0]","[100, 100]","[4, 0.7638759268973253]","[1, 0.45684191788362116]","[1, 0.4166640522780397]","[3, 0.04734090406270636]","[5, 0.0796932904839905]","[4, 0.9733177321488937]","[4, 0.7296749671680645]","[100, 100]","[2, 0.017772993588112927]","[4, 0.9981535672631873]","[1, 1.0]","[3, 0.3263559755540594]","[100, 100]","[1, 1.0]","[3, 0.13013548873297276]","[1, 0.0014571124548593964]","[4, 0.5888320233849003]","[1, 1.0]","[4, 0.0002914171733003293]","[1, 1.0]","[2, 0.43502315787363033]","[5, 0.0012365978159599742]","[5, 0.025667886326644945]","[2, 0.0797517886571167]","[1, 0.3910614669873874]","[2, 0.6853054820477924]","[5, 0.0010243141419605912]"
Parent gaze:child,"[5, 0.000515054115764276]","[2, 0.1454547081059193]","[1, 0.7524289592470992]","[4, 0.12952759450639348]","[2, 0.039134993299147554]","[5, 0.08544357581522787]","[5, 0.09629987640348595]","[100, 100]","[2, 0.7426056287942974]","[2, 0.03297770184728731]","[1, 1.0]","[3, 0.2746221742454]","[1, 0.11890779223237853]","[2, 0.4875673848898756]","[3, 0.9010749644352712]","[3, 0.28072681371597863]","[1, 0.13269516130641193]","[100, 100]","[2, 0.0007289082753322694]","[4, 0.0012448297100491371]","[4, 0.20598523419461115]","[3, 0.9381869385017729]","[1, 0.2707234425175527]","[3, 0.5880313211306125]","[100, 100]","[4, 0.003319910961707504]","[1, 0.02489709674871209]","[3, 0.002944453917233862]","[2, 0.4345171959681944]","[100, 100]","[5, 0.9997185507356089]","[4, 0.33835731639564176]","[5, 0.1770095290126633]","[5, 0.017100410294812417]","[4, 0.18329658495422735]","[3, 0.44335296209653674]","[1, 0.055876000516453146]","[5, 0.5691014615874127]","[1, 0.011295265892765383]","[1, 0.17798259418818768]","[1, 0.058948238132764084]","[2, 2.2766706117912905e-05]","[2, 0.055069521829289154]","[2, 0.1171200561651208]"
Parent gaze:robot,"[1, 0.0893081211833851]","[2, 0.02664321775319573]","[1, 0.00046485529464141887]","[3, 0.13248680166627744]","[5, 0.029303799992856927]","[1, 0.09299551433264104]","[1, 0.01853290016779435]","[100, 100]","[5, 0.06136000267705663]","[5, 0.0638813477892445]","[1, 0.8371903748142833]","[4, 0.3471780968517422]","[3, 0.14739626422456958]","[1, 0.24523509469882]","[1, 0.14538492653316737]","[1, 0.245235094698803]","[2, 0.7953157017180852]","[2, 4.9493434361754765e-09]","[100, 100]","[2, 8.692549662041584e-06]","[1, 0.008930454814168515]","[3, 0.18845418539423286]","[5, 0.9999993413778849]","[4, 0.7962198366694708]","[100, 100]","[1, 0.4514319510742175]","[1, 0.858865427484166]","[1, 0.14607472510804767]","[4, 0.4741614740049719]","[100, 100]","[1, 0.7700200037627587]","[2, 0.7442692557889072]","[1, 0.3360327765972448]","[2, 0.012060610519517456]","[5, 0.01055478003693128]","[4, 0.37749919031319806]","[2, 0.16502678317816483]","[2, 0.4444888967763786]","[2, 0.453470059156758]","[1, 0.07767097530492448]","[5, 0.34849148501973837]","[2, 2.3811266488840393e-09]","[1, 7.624235835867312e-05]","[1, 0.01853290016779435]"
Parent gaze:props,"[1, 0.2427242491924629]","[4, 0.08713623398910286]","[2, 0.03502275844509208]","[1, 0.45330651453224025]","[3, 0.4027804329061977]","[3, 0.21694566196317394]","[4, 0.024267509351630565]","[100, 100]","[1, 0.10968650583604987]","[4, 0.3257560254045367]","[5, 0.5323707748074582]","[4, 0.0206575647047331]","[1, 0.4178997310812044]","[2, 0.2768060480615219]","[4, 0.27930243533366056]","[3, 0.017743834636042663]","[1, 0.3712539311421207]","[2, 4.368395622051716e-09]","[2, 0.14510554238875462]","[100, 100]","[1, 0.46556060673656385]","[5, 0.12308157231572282]","[2, 0.507629325601753]","[5, 0.09111140681733773]","[100, 100]","[1, 0.2861470262643805]","[1, 0.2298771581817366]","[3, 0.00015923676847768184]","[1, 0.27079292081951656]","[100, 100]","[1, 0.004607923581483735]","[4, 0.19135247196617644]","[4, 0.19313607562147858]","[2, 0.13444959445869822]","[2, 0.2208982148948957]","[2, 0.286766719011766]","[3, 0.000293906698061238]","[2, 0.698993449134475]","[1, 0.048668213005199586]","[1, 0.1316747009179911]","[1, 0.060421688849580775]","[2, 0.09923670949306834]","[1, 0.2844718857135171]","[1, 0.10456404276865681]"
Parent affect:positive 2,"[1, 0.002243119371195252]","[1, 0.15749241508377426]","[3, 0.9240869873532119]","[3, 0.14381126814441422]","[1, 0.011700741610754451]","[1, 0.05616805495542569]","[3, 0.05747856221862149]","[100, 100]","[2, 0.9953753318165168]","[1, 0.24894617837415628]","[1, 1.0]","[1, 0.38713847085761754]","[1, 1.0]","[1, 1.0]","[2, 0.03712431439588312]","[1, 0.1713514210711219]","[3, 0.0012388906004317834]","[5, 0.5164297461391686]","[3, 0.10353269687392035]","[3, 0.6123877351039346]","[100, 100]","[3, 0.020835727008173956]","[1, 1.0]","[2, 0.09466665379081214]","[100, 100]","[4, 0.2687627302383876]","[2, 0.9922753599413626]","[1, 0.005956616323809692]","[5, 0.7843066311207986]","[100, 100]","[1, 1.0]","[2, 0.9704948420180337]","[4, 0.4302262709213204]","[5, 0.10273307052019336]","[4, 0.7097445166158666]","[5, 0.7030549697738091]","[1, 1.0]","[3, 0.0027707322772135543]","[5, 0.06082635635756902]","[1, 0.18451862236888175]","[5, 0.6471586802592257]","[4, 0.5696209002029529]","[5, 0.9921051630216642]","[3, 0.08745578421619557]"
Parent affect:positive 1,"[2, 0.18184313318915918]","[1, 0.4670763814413472]","[5, 0.36184458589205526]","[1, 0.1550963030864211]","[2, 0.011227785675330703]","[2, 0.007830267788448874]","[2, 0.049115387871544104]","[100, 100]","[3, 0.0002469759614396895]","[2, 0.8285295174966602]","[1, 0.8117267576330396]","[1, 0.34506845733600566]","[1, 1.0]","[1, 1.0]","[4, 0.14246999360339585]","[1, 1.0]","[1, 0.10323257526754202]","[1, 0.43925127779216155]","[1, 0.009464166621723212]","[3, 0.42072737907563995]","[1, 0.15847114514255956]","[100, 100]","[3, 0.008816644188642522]","[4, 0.19288998053964923]","[100, 100]","[5, 0.01664104056784768]","[3, 0.4156680976022237]","[1, 1.0]","[5, 0.13086543845504178]","[100, 100]","[1, 0.7233783366384714]","[4, 0.6847602653200724]","[3, 0.573025947977007]","[5, 0.1530493959524725]","[4, 0.010485727601967032]","[1, 0.07413495407092219]","[1, 1.0]","[4, 0.5509122107045243]","[5, 0.9435958583000672]","[5, 0.825800350733291]","[3, 0.04438836752779615]","[1, 0.0031803716623656523]","[1, 0.49354698015796594]","[1, 0.12436685084586116]"
Parent affect:positive 3,"[4, 0.10250116588561199]","[5, 0.9015351998546648]","[4, 0.20586500452898698]","[2, 5.039049337558606e-15]","[5, 0.12562753076454003]","[5, 0.3702696076135047]","[3, 0.001063895477073181]","[100, 100]","[3, 0.028402942718058186]","[1, 0.3182100272858587]","[1, 1.0]","[2, 0.10712584714914428]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.017429197319516636]","[2, 0.022945168504370603]","[3, 0.08162541635564481]","[5, 0.3713018718176981]","[1, 0.2506979073277485]","[5, 0.37845210551878183]","[1, 0.021113250346338815]","[100, 100]","[2, 0.24582352924801995]","[100, 100]","[3, 7.072665643384026e-06]","[1, 1.0]","[4, 1.2706444419163168e-06]","[2, 0.17745605857029256]","[100, 100]","[1, 1.0]","[5, 0.4564279033028179]","[5, 0.578188983830777]","[4, 0.9975748709967343]","[1, 1.0]","[1, 0.0025537274305146925]","[1, 1.0]","[4, 0.9956976013892737]","[5, 0.5507519544337219]","[5, 0.9972499343953304]","[5, 0.9875246291842428]","[5, 0.18641521954901338]","[1, 0.22131537838360688]","[2, 8.769863327561425e-08]"
