,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
31,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,63.1
32,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,63.6
33,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,64.1
34,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,64.6
35,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,65.1
36,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,65.6
37,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,66.1
38,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,66.6
39,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,67.1
40,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,67.6
41,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,68.1
42,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,68.6
43,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,69.1
44,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,69.6
45,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,70.1
46,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,70.6
47,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,71.1
48,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,71.6
49,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,72.1
50,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,72.6
51,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,73.1
52,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,73.6
53,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,74.1
54,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,74.6
55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,75.1
56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,75.6
57,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,76.1
58,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,76.6
