,Child utterance,Child gaze,Child affect,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
214,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,60.03999999999985
215,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,60.23999999999984
216,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,60.43999999999984
217,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,60.639999999999844
218,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,60.83999999999985
219,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,61.039999999999836
220,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,61.23999999999984
221,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,61.43999999999984
222,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,61.639999999999844
223,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,61.83999999999983
224,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,62.039999999999836
225,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,62.23999999999984
226,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,62.43999999999984
227,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,62.63999999999983
228,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,62.83999999999983
229,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,63.039999999999836
230,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,63.23999999999984
231,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,63.43999999999983
232,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,63.63999999999983
233,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,63.83999999999983
234,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,64.03999999999984
235,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.23999999999982
236,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,64.43999999999983
237,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,64.63999999999983
238,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,64.83999999999983
