,granger_Non-verbal scaffolding:affective_robot text:positive feedback,granger_Verbal scaffolding:affective_robot text:positive feedback,granger_Parent affective touch:affective touch_robot text:positive feedback,granger_Parent affect_robot text:positive feedback,granger_Child affect_robot text:positive feedback,granger_Mutual gaze:MG_robot text:pick up,granger_Child gaze:object_robot text:pick up,granger_Parent gaze:object_robot text:pick up,granger_Parent utterance:utterance_robot text:pick up,granger_Child utterance:utterance_robot text:pick up,granger_Conversational turns_robot text:pick up,granger_Non-verbal scaffolding:cognitive_robot text:pick up,granger_Verbal scaffolding:cognitive_robot text:pick up,granger_Parent prop manipulation:parent_robot text:pick up,granger_Child prop manipulation:child_robot text:pick up,Child affect_normalized total time,Conversational turns_normalized count,Parent affect_normalized total time,Child affective touch:affective touch_normalized count,Child gaze:parent_normalized total time,Child utterance:utterance_normalized count,Non-verbal scaffolding:cognitive_normalized count,Parent affective touch:affective touch_normalized count,Parent gaze:child_normalized total time,Parent utterance:utterance_normalized count,Verbal scaffolding:affective_normalized count,Verbal scaffolding:cognitive_normalized count,Non-verbal scaffolding:affective_normalized count,Non-verbal scaffolding:technical_normalized count,Verbal scaffolding:technical_normalized count,Child gaze:object_normalized total time,Parent gaze:object_normalized total time,condition,participant,order,child gender,child age,Nars_ss1,Nars_ss2,Nars_ss3
10,0.0,32.490035429213286,12.664501407027714,16.436648416384568,37.702916366964544,8.362968615367944,5.1240545076504915,13.828209993143432,14.242663003958018,16.881925062021814,12.006746199995568,12.404219951034737,14.792950020910418,0.0,12.100444492868105,0.06652892561983471,0.14807162534435264,0.0568870523415978,0.010330578512396695,0.014738292011019286,0.05853994490358127,0.024104683195592287,0.024104683195592287,0.04545454545454546,0.11707988980716254,0.006887052341597796,0.05165289256198347,0.0,0.003443526170798898,0.0,0.8487603305785125,0.9305785123966943,t,106,1,1,1181,4.333333333,3.2,3.0
11,0.0,13.157251636497701,53.18181818181821,8.899364266224305,19.037928409257653,1.0732155904709847e-13,0.003411989443587468,10.407343123602994,14.164726144778417,3.2546938471943543,8.158651715084915e-05,1.3577876147894525,11.1833007452091,0.0,19.509612562111997,0.3312118368623611,0.07819618402621951,0.35263079161736904,0.0,0.0069356615397168616,0.023798838616675505,0.027198672704772008,0.003399834088096501,0.11872220635632981,0.18699087484530755,0.013599336352386004,0.04079800905715801,0.0,0.006799668176193002,0.013599336352386004,0.5859954034243129,0.8555342499286034,t,108,1,1,1237,3.0,2.8,3.333333333
12,0.0,14.84338753526318,23.645217585914693,19.020188276349117,3.1329373227547515,2.0206059048177854e-13,0.0,4.030291276769417,21.819183105593428,10.722387871996348,14.924060282070803,0.0,11.240269752604789,8.63820590672859,8.760996962492454,0.3581275646101793,0.24116334317183788,0.051832121517529334,0.0,0.0025556115470448493,0.07918796342955871,0.0,0.0035994528831617594,0.08915844791591677,0.2231660787560291,0.017997264415808796,0.1331797566769851,0.0,0.0,0.017997264415808796,0.33068173637607085,0.8068893528183717,t,110,1,2,1004,3.833333333,2.6,2.666666667
13,0.0,71.17939373464367,30.48587772166909,14.875671599626648,26.708172933843873,9.792167077193881e-14,0.08811085442591618,22.336007907750638,28.12494538400383,5.969077059086541,33.87976147761418,39.014241522748705,13.101387298373515,107.06554485410231,26.0665898769236,0.21797782823560838,0.2704688126085214,0.08147455589688793,0.0,0.004006945371978095,0.07346066515293175,0.016695605716575395,0.0033391211433150794,0.09843729130492854,0.23039935888874047,0.03339121143315079,0.04674769600641111,0.0,0.006678242286630159,0.0,0.9213303058634967,0.8148791238146119,t,114,1,2,1369,3.0,3.6,3.0
14,0.0,16.252584843360236,0.0,26.35279509529487,14.001461599974741,0.0,7.99988097966376,14.67362865557605,15.278652908644526,3.9367950339244966,13.092657426703052,33.90755517401396,29.115157530651825,37.55993455386458,13.696670700451357,0.17208496026881595,0.3841182148857499,0.04889991883415112,0.0,0.0,0.09686459331901519,0.0734834845868391,0.0,0.030595850855247558,0.22045045376051733,0.033401583903108684,0.07014332619652824,0.0,0.02004095034186521,0.010020475170932606,0.9436615484306266,0.8044437467224695,t,116,1,2,740,3.5,1.6,2.333333333
15,0.0,1.8553819935301188,0.0,16.75701589982717,0.0,8.227862886582985,6.370615948830668,8.350248545974413,9.735488362560705,8.387824403300897,17.82799380255754,0.7266134880040019,7.153229551793785,18.53543199655452,20.381349420945046,0.011515261068375212,0.19750011716108645,0.03695595412641346,0.0,0.13162211197921897,0.08368649032249427,0.016737298064498852,0.0033474596128997705,0.10002209323344516,0.14394076335469014,0.0033474596128997705,0.03682205574189747,0.0,0.006694919225799541,0.006694919225799541,0.8126292956275483,0.8264208292326953,t,118,1,1,1213,2.5,1.2,1.666666667
16,29.100069453569333,59.18596747112272,0.0,13.244549806319391,9.792318011993395,0.6327540465782626,9.625314014720509,9.170337472135746,16.899155642186813,25.079204138901325,10.542996103943603,6.041400900943783,7.648484648241764,3.8735907679047688,0.0,0.3819564061313702,0.5016940535876141,0.23800365902196413,0.0,0.008160889938358524,0.17726523226762367,0.04013552428700913,0.0,0.5915976279905146,0.18729911333937593,0.0033446270239174277,0.04682477833484398,0.0033446270239174277,0.006689254047834855,0.0,0.9034506517005755,0.3650994859308264,r,102,2,1,699,2.5,1.4,2.666666667
17,0.0,11.180962165798606,0.0,7.3311681022404045,4.63340220734293,12.940399429086758,7.779359844539106,15.761342445917897,11.239497209904629,6.539773830314099,11.184663353293955,62.68705613462974,29.705143110512992,15.826343627846013,8.293859900309318,0.09404871000755867,0.21405111808263708,0.562419312762129,0.006689097440082409,0.059800531114336745,0.05351277952065927,0.0033445487200412043,0.0033445487200412043,0.23084075265724394,0.2040174719225135,0.02341184104028843,0.0769246205609477,0.0,0.0,0.006689097440082409,0.7739954647919356,0.6848297959156371,r,104,2,1,847,3.5,2.6,3.0
18,9.742207041085749e-14,102.27261083259432,0.0,8.05207068839049,18.436693463106142,0.0,11.084548030931737,17.003594263800416,17.246862170556486,18.32944021232516,5.474088043190252,1.2805420278245652e-13,19.961259656781255,0.02262878934734872,5.503404005818778,0.365607368601451,0.28227039487612027,0.19463215799077246,0.0,0.010618743426292142,0.1008108553129001,0.016801809218816684,0.01008108553129001,0.18770981259261998,0.18145953956322017,0.013441447375053346,0.05712615134397672,0.0033603618437633366,0.016801809218816684,0.006720723687526673,0.7918356648643926,0.7347095135204159,r,106,2,1,1181,4.333333333,3.2,3.0
19,0.0,33.72158398643284,9.229571411620157,11.740128363396279,18.697995643705553,9.775513731824503e-14,8.407126271041163,17.660188735427816,10.185620758269074,11.548158673939065,3.7422334753856834,30.132945142381157,14.572084392876882,37.65883134703793,9.22181185416704,0.2057686310148592,0.12407821622473583,0.21971904667688352,0.0,0.015425940395507697,0.030181187730341147,0.08383663258428097,0.016767326516856192,0.11173746390832967,0.2883980160899265,0.03688811833708362,0.09389702849439469,0.0,0.013413861213484955,0.006706930606742477,0.9133498100261905,0.6845093377241372,r,108,2,1,1237,3.0,2.8,3.333333333
