,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
609,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,128.80000000000013
610,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,129.0000000000001
611,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,129.2000000000001
612,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,129.4000000000001
613,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,129.6000000000001
614,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,129.80000000000013
615,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,130.0000000000001
616,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,130.2000000000001
617,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,130.4000000000001
618,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,130.6000000000001
619,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,130.80000000000013
620,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,131.0000000000001
621,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,131.2000000000001
622,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,131.4000000000001
623,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,131.6000000000001
624,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,131.80000000000013
625,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,132.0000000000001
626,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,132.2000000000001
627,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,132.4000000000001
628,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,132.6000000000001
629,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,132.80000000000013
630,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,133.0000000000001
631,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,133.2000000000001
632,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,133.40000000000012
633,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,133.6000000000001
634,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,133.80000000000013
635,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,134.0000000000001
636,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,134.2000000000001
637,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,134.40000000000012
638,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,134.6000000000001
639,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,134.80000000000013
640,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,135.0000000000001
641,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,135.2000000000001
642,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,135.40000000000012
643,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,135.6000000000001
644,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,135.80000000000013
645,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,136.0000000000001
646,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,136.2000000000001
647,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,136.40000000000012
648,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,136.6000000000001
649,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,136.80000000000013
650,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,137.0000000000001
651,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,137.2000000000001
652,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,137.40000000000012
653,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,137.6000000000001
654,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,137.80000000000013
655,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,138.0000000000001
