,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
81,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,52.519999999999996
82,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,53.019999999999996
83,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,53.519999999999996
84,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,54.019999999999996
85,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,54.519999999999996
86,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,55.019999999999996
87,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,55.519999999999996
88,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56.019999999999996
89,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56.519999999999996
90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,57.019999999999996
91,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,57.519999999999996
92,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,58.019999999999996
93,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,58.519999999999996
94,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,59.019999999999996
95,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,59.519999999999996
96,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,60.019999999999996
97,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,60.519999999999996
98,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,61.019999999999996
99,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,61.519999999999996
100,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,62.019999999999996
101,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,62.519999999999996
102,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,63.019999999999996
103,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,63.519999999999996
104,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,64.02
105,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,64.52
