,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
209,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61.079999999999856
210,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61.27999999999985
211,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61.47999999999985
212,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61.67999999999985
213,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,61.87999999999985
214,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.07999999999985
215,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.279999999999845
216,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.47999999999985
217,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.67999999999985
218,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62.879999999999846
219,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.07999999999984
220,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.279999999999845
221,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.47999999999985
222,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.67999999999984
223,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.87999999999984
224,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.07999999999984
225,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.27999999999984
226,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.47999999999985
227,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.67999999999984
228,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.87999999999984
229,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65.07999999999984
230,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65.27999999999983
