,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,73.06000000000026
92,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,73.26000000000026
93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,73.46000000000026
94,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,73.66000000000027
95,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,73.86000000000027
96,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,74.06000000000027
97,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,74.26000000000028
98,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,74.46000000000028
99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,74.66000000000028
100,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,74.86000000000028
101,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75.06000000000029
102,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75.26000000000029
103,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75.46000000000029
104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75.6600000000003
105,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,75.8600000000003
106,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,76.0600000000003
107,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,76.2600000000003
108,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,76.4600000000003
109,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,76.66000000000031
110,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,76.86000000000031
111,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,77.06000000000031
112,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,77.26000000000032
113,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,77.46000000000032
114,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,77.66000000000032
115,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,77.86000000000033
116,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,78.06000000000033
117,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,78.26000000000033
118,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,78.46000000000033
119,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,78.66000000000034
120,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,78.86000000000034
121,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,79.06000000000034
122,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,79.26000000000035
123,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,79.46000000000035
124,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,79.66000000000035
125,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,79.86000000000035
126,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80.06000000000036
127,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80.26000000000036
128,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80.46000000000036
129,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80.66000000000037
130,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,80.86000000000037
131,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,81.06000000000037
132,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,81.26000000000037
133,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,81.46000000000038
134,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,81.66000000000038
135,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,81.86000000000038
136,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,82.06000000000039
137,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,82.26000000000039
138,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,82.46000000000039
139,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,82.6600000000004
140,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,82.8600000000004
141,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,83.0600000000004
142,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,83.2600000000004
143,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,83.4600000000004
144,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,83.66000000000041
145,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,83.86000000000041
146,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,84.06000000000041
147,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,84.26000000000042
148,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,84.46000000000042
149,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,84.66000000000042
150,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,84.86000000000043
151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.06000000000043
152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.26000000000043
153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.46000000000043
154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.66000000000044
155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.86000000000044
156,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86.06000000000044
