,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
128,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,68.44
129,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,68.94
130,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,69.44
131,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,69.94
132,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,70.44
133,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,70.94
134,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,71.44
135,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,71.94
136,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,72.44
137,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,72.94
138,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,73.44
139,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,73.94
140,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,74.44
141,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,74.94
142,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,75.44
143,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,75.94
144,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,76.44
145,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,76.94
146,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,77.44
147,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,77.94
148,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,78.44
149,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,78.94
150,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,79.44
151,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,79.94
152,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,80.44
153,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,80.94
154,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,81.44
155,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,81.94
156,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,82.44
157,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,82.94
158,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,83.44
159,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,83.94
160,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,84.44
161,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,84.94
162,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,85.44
163,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,85.94
164,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,86.44
