,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
71,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,68.5
72,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,69.0
73,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,69.5
74,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,70.0
75,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,70.5
76,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,71.0
77,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,71.5
78,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,72.0
79,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,72.5
80,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,73.0
81,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,73.5
82,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,74.0
83,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,74.5
84,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,75.0
85,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,75.5
86,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,76.0
87,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,76.5
88,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,77.0
89,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,77.5
90,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,78.0
91,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,78.5
92,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,79.0
93,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,79.5
94,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,80.0
95,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,80.5
96,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,81.0
97,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,81.5
