,col base,action base,col count,action count,hist,bins
215,action,Child gesture,sub_action,technical,[1],[1 2]
216,action,Child gesture,sub_action,try again,[1],[1 2]
217,action,Child gesture,sub_action,utterance,[8 3],[1 2 3]
218,action,Child gesture,action:sub_action,Child affect:positive 1,[3],[1 2]
219,action,Child gesture,action:sub_action,Child affect:positive 2,[],[1]
220,action,Child gesture,action:sub_action,Child gaze:missing data,[],[1]
221,action,Child gesture,action:sub_action,Child gaze:parent,[1],[1 2]
222,action,Child gesture,action:sub_action,Child gaze:props,[6 2],[1 2 3]
223,action,Child gesture,action:sub_action,Child gaze:robot,[6],[1 2]
224,action,Child gesture,action:sub_action,Child gesture:point at prop,[4],[1 2]
225,action,Child gesture,action:sub_action,Child prop manipulation:child,[0 1],[1 2 3]
226,action,Child gesture,action:sub_action,Child utterance:utterance,[],[1]
227,action,Child gesture,action:sub_action,Conversational turns:CP,[],[1]
228,action,Child gesture,action:sub_action,Conversational turns:CPC,[],[1]
229,action,Child gesture,action:sub_action,Conversational turns:PC,[2 1],[1 2 3]
230,action,Child gesture,action:sub_action,Conversational turns:PCP,[2],[1 2]
231,action,Child gesture,action:sub_action,Joint attention:missing data,[],[1]
232,action,Child gesture,action:sub_action,Joint attention:props,[8 1],[1 2 3]
233,action,Child gesture,action:sub_action,Joint attention:robot,[5],[1 2]
234,action,Child gesture,action:sub_action,Mutual gaze:MG,[1],[1 2]
235,action,Child gesture,action:sub_action,Non-verbal scaffolding:cognitive,[],[1]
236,action,Child gesture,action:sub_action,Non-verbal scaffolding:technical,[],[1]
237,action,Child gesture,action:sub_action,Parent affect:positive 1,[1],[1 2]
238,action,Child gesture,action:sub_action,Parent affect:positive 2,[],[1]
239,action,Child gesture,action:sub_action,Parent affective touch:affective touch,[],[1]
240,action,Child gesture,action:sub_action,Parent gaze:child,[6],[1 2]
241,action,Child gesture,action:sub_action,Parent gaze:missing data,[],[1]
242,action,Child gesture,action:sub_action,Parent gaze:props,[10],[1 2]
243,action,Child gesture,action:sub_action,Parent gaze:robot,[6 1],[1 2 3]
244,action,Child gesture,action:sub_action,Parent gesture:point at prop,[],[1]
245,action,Child gesture,action:sub_action,Parent prop manipulation:parent,[],[1]
246,action,Child gesture,action:sub_action,Parent utterance:missing data,[],[1]
247,action,Child gesture,action:sub_action,Parent utterance:other vocalization,[2],[1 2]
248,action,Child gesture,action:sub_action,Parent utterance:utterance,[8 3],[1 2 3]
249,action,Child gesture,action:sub_action,Verbal scaffolding:affective,[1],[1 2]
250,action,Child gesture,action:sub_action,Verbal scaffolding:cognitive,[2 1],[1 2 3]
251,action,Child gesture,action:sub_action,Verbal scaffolding:technical,[1],[1 2]
252,action,Child gesture,action:sub_action,robot pointing:point at prop,[],[1]
253,action,Child gesture,action:sub_action,robot text:correction,[4],[1 2]
254,action,Child gesture,action:sub_action,robot text:other,[],[1]
255,action,Child gesture,action:sub_action,robot text:pick up,[1],[1 2]
