,Child utterance,Child gaze,Child affect,Child gesture,Child affective touch,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
97,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,54.66
98,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,55.16
99,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,55.66
100,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,56.16
101,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,56.66
102,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,57.16
103,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,57.66
104,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,58.16
105,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,58.66
106,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,59.16
107,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,59.66
108,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,60.16
109,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,60.66
110,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,61.16
111,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,61.66
112,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,62.16
113,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,62.66
114,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,63.16
115,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,63.66
116,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,64.16
117,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,64.66
118,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,65.16
119,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,65.66
120,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,66.16
121,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,66.66
122,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,67.16
123,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,67.66
124,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,68.16
125,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,68.66
126,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,69.16
127,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,69.66
128,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,70.16
129,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,70.66
130,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,71.16
131,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,71.66
132,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,72.16
133,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,72.66
134,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,73.16
135,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,73.66
136,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,74.16
137,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,74.66
138,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,75.16
139,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,75.66
140,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,76.16
141,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,76.66
142,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,77.16
143,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,77.66
144,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,78.16
145,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,78.66
146,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,79.16
147,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,79.66
148,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,80.16
149,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,80.66
150,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,81.16
151,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,81.66
152,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,82.16
153,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,82.66
154,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,83.16
155,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,83.66
156,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,84.16
157,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,84.66
158,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,85.16
159,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,85.66
160,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,86.16
161,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,86.66
162,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,87.16
163,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,87.66
164,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,88.16
165,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,88.66
166,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,89.16
167,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,89.66
168,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,90.16
169,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,90.66
170,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,91.16
171,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,91.66
172,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,92.16
173,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,92.66
174,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,93.16
175,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,93.66
176,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,94.16
177,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,94.66
178,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,95.16
179,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,95.66
180,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,96.16
181,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,96.66
182,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,97.16
