,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
110,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,211.4
111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,211.9
112,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,212.4
113,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,212.9
114,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,213.4
115,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,213.9
116,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,214.4
117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,214.9
118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,215.4
119,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,215.9
120,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,216.4
121,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,216.9
122,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,217.4
123,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,217.9
124,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,218.4
125,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,218.9
126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,219.4
127,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,219.9
128,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,220.4
129,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,220.9
130,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,221.4
131,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,221.9
132,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,222.4
133,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,222.9
134,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,223.4
135,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,223.9
136,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,224.4
137,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,224.9
138,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,225.4
139,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,225.9
140,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,226.4
141,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,226.9
142,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,227.4
143,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,227.9
144,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,228.4
145,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,228.9
146,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,229.4
147,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,229.9
148,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,230.4
149,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,230.9
150,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,231.4
151,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,231.9
152,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,232.4
153,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,232.9
154,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,233.4
155,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,233.9
156,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,234.4
157,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,234.9
158,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,235.4
159,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,235.9
160,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,236.4
161,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,236.9
162,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,237.4
163,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,237.9
164,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,238.4
165,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,238.9
166,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,239.4
167,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,239.9
168,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,240.4
169,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,240.9
170,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,241.4
171,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,241.9
172,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,242.4
173,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,242.9
174,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,243.4
175,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,243.9
176,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,244.4
177,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,244.9
178,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,245.4
179,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,245.9
180,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,246.4
181,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,246.9
