,col base,action base,col count,action count,hist,bins
176,action,Child gesture,sub_action,utterance,[4 1],[1 2 3]
177,action,Child gesture,action:sub_action,Child affect:positive 1,[],[1]
178,action,Child gesture,action:sub_action,Child affect:positive 2,[],[1]
179,action,Child gesture,action:sub_action,Child gaze:parent,[],[1]
180,action,Child gesture,action:sub_action,Child gaze:tablet,[2],[1 2]
181,action,Child gesture,action:sub_action,Child gesture:other,[],[1]
182,action,Child gesture,action:sub_action,Child gesture:point at prop,[1],[1 2]
183,action,Child gesture,action:sub_action,Child prop manipulation:child,[3],[1 2]
184,action,Child gesture,action:sub_action,Child utterance:utterance,[],[1]
185,action,Child gesture,action:sub_action,Conversational turns:CP,[],[1]
186,action,Child gesture,action:sub_action,Conversational turns:CPC,[],[1]
187,action,Child gesture,action:sub_action,Conversational turns:PC,[1],[1 2]
188,action,Child gesture,action:sub_action,Conversational turns:PCP,[1],[1 2]
189,action,Child gesture,action:sub_action,Joint attention:tablet,[1],[1 2]
190,action,Child gesture,action:sub_action,Non-verbal scaffolding:cognitive,[],[1]
191,action,Child gesture,action:sub_action,Non-verbal scaffolding:technical,[],[1]
192,action,Child gesture,action:sub_action,Parent gaze:tablet,[],[1]
193,action,Child gesture,action:sub_action,Parent gesture:missing data,[],[1]
194,action,Child gesture,action:sub_action,Parent gesture:other,[],[1]
195,action,Child gesture,action:sub_action,Parent gesture:point at prop,[],[1]
196,action,Child gesture,action:sub_action,Parent prop manipulation:parent,[],[1]
197,action,Child gesture,action:sub_action,Parent utterance:missing data,[],[1]
198,action,Child gesture,action:sub_action,Parent utterance:utterance,[4 1],[1 2 3]
199,action,Child gesture,action:sub_action,Verbal scaffolding:affective,[],[1]
200,action,Child gesture,action:sub_action,Verbal scaffolding:cognitive,[4 1],[1 2 3]
201,action,Child gesture,action:sub_action,robot pointing:point at prop,[1],[1 2]
202,action,Child gesture,action:sub_action,robot text:correction,[1],[1 2]
203,action,Child gesture,action:sub_action,robot text:other,[1],[1 2]
204,action,Child gesture,action:sub_action,robot text:pick up,[1],[1 2]
205,action,Child gesture,action:sub_action,robot text:positive feedback,[],[1]
206,action,Child gesture,action:sub_action,robot text:put down,[],[1]
207,action,Child gesture,action:sub_action,robot text:song,[],[1]
208,action,Child gesture,action:sub_action,robot text:teach,[1],[1 2]
209,action,Child gesture,action:sub_action,robot text:try again,[],[1]
210,action,Child prop manipulation,action,Child affect,[1],[1 2]
211,action,Child prop manipulation,action,Child gaze,[1 1],[1 2 3]
212,action,Child prop manipulation,action,Child gesture,[3],[1 2]
213,action,Child prop manipulation,action,Child utterance,[3],[1 2]
214,action,Child prop manipulation,action,Conversational turns,[1 1 0 1],[1 2 3 4 5]
215,action,Child prop manipulation,action,Joint attention,[4],[1 2]
216,action,Child prop manipulation,action,Non-verbal scaffolding,[5],[1 2]
217,action,Child prop manipulation,action,Parent gaze,[3],[1 2]
218,action,Child prop manipulation,action,Parent gesture,[3],[1 2]
219,action,Child prop manipulation,action,Parent prop manipulation,[3],[1 2]
220,action,Child prop manipulation,action,Parent utterance,[10  1],[1 2 3]
221,action,Child prop manipulation,action,Verbal scaffolding,[6 1],[1 2 3]
222,action,Child prop manipulation,action,robot pointing,[3],[1 2]
223,action,Child prop manipulation,action,robot text,[13],[1 2]
224,action,Child prop manipulation,sub_action,CP,[2],[1 2]
225,action,Child prop manipulation,sub_action,CPC,[1],[1 2]
226,action,Child prop manipulation,sub_action,PC,[2],[1 2]
227,action,Child prop manipulation,sub_action,PCP,[2],[1 2]
228,action,Child prop manipulation,sub_action,affective,[1 1],[1 2 3]
229,action,Child prop manipulation,sub_action,child,[5 1],[1 2 3]
230,action,Child prop manipulation,sub_action,cognitive,[5 2],[1 2 3]
231,action,Child prop manipulation,sub_action,correction,[2],[1 2]
