,Child utterance:utterance,Child gaze:tablet,Child gaze:parent,Child affect:positive 2,Child affect:positive 1,Child gesture:point at prop,Child gesture:other,Parent utterance:utterance,Parent utterance:missing data,Verbal scaffolding:affective,Verbal scaffolding:cognitive,Non-verbal scaffolding:cognitive,Non-verbal scaffolding:technical,Parent gaze:tablet,Parent gesture:point at prop,Parent gesture:other,Parent gesture:missing data,Child prop manipulation:child,Parent prop manipulation:parent,robot pointing:point at prop,robot text:other,robot text:song,robot text:teach,robot text:pick up,robot text:positive feedback,robot text:put down,robot text:correction,robot text:try again,Conversational turns:PC,Conversational turns:CP,Conversational turns:PCP,Conversational turns:CPC,Joint attention:tablet
robot text:pick up,"[2, 0.04978706836786286]","[1, 1.0]","[1, 0.03395724589546706]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.23129731843036483]","[1, 1.0]","[2, 6.915685916403157e-09]","[1, 0.15816914782671432]","[1, 1.0]","[3, 1.2881935642791256e-08]","[5, 0.15678608860986673]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[3, 0.0003060224593010961]","[4, 0.0007869640868592917]","[100, 100]","[100, 100]","[4, 0.0007869640868592917]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 4.478171316970501e-06]","[5, 4.3446637981823746e-05]","[2, 0.005656422427956895]","[5, 0.0001717388492286803]","[2, 6.915685916403157e-09]","[5, 0.5796011408394206]"
robot text:positive feedback,"[2, 0.082372511460499]","[5, 0.301749017291891]","[4, 0.11106880977787363]","[100, 100]","[4, 0.00440207558742665]","[1, 9.605190140807198e-05]","[100, 100]","[2, 0.5481456563302647]","[1, 1.0]","[1, 1.0]","[5, 0.8931942695695255]","[1, 0.006080412755711468]","[1, 1.0]","[1, 1.0]","[1, 0.006080412755711468]","[100, 100]","[1, 1.0]","[5, 0.3516984511991229]","[2, 0.0005025855514647528]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[4, 0.20040693036045687]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[3, 0.3703627791109002]"
robot text:put down,"[4, 0.03995584255198628]","[2, 0.04853725028058298]","[2, 0.022418419914543394]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.7876780929051038]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[5, 0.0010234858956674265]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[2, 0.04244581260006586]"
robot text:correction,"[4, 1.3036406301223361e-08]","[4, 0.015451704535839503]","[5, 0.009801067540758483]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[4, 0.30681052701503475]","[3, 0.9999999857474924]","[1, 1.0]","[2, 0.999999268832547]","[1, 1.0]","[1, 1.0]","[1, 0.994253029016409]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.9900445776146575]","[4, 1.7468819387483772e-08]","[1, 0.9934834187101916]","[1, 0.9900445776146575]","[2, 9.418380281513737e-32]","[4, 0.011389346712924887]"
robot text:try again,"[4, 0.9999999997716028]","[4, 2.361798432280025e-10]","[3, 0.0016711010284179678]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 0.027987653609995864]","[1, 7.365086475461381e-16]","[1, 1.0]","[1, 0.9990377707724913]","[1, 1.0]","[1, 1.0]","[4, 1.5875624328492943e-05]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[3, 0.9999999966705915]","[1, 1.0]","[1, 1.0]","[4, 2.1377080968743695e-46]","[100, 100]","[4, 0.9999999988942367]","[1, 0.9934834186998474]","[1, 0.9900445776518964]","[1, 1.0]","[4, 0.012922192144693399]"
Conversational turns:PC,"[5, 1.2204672515423535e-16]","[5, 0.9993969768241222]","[5, 0.9989569462101651]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.17645750656991302]","[1, 1.0]","[1, 1.0]","[5, 0.06469852386557105]","[1, 1.0]","[5, 5.994613604746233e-19]","[5, 0.9957704331932961]","[1, 1.0]","[100, 100]","[1, 1.0]","[2, 0.09692640180755004]","[5, 2.586783038548523e-08]","[5, 0.9910171922241465]","[100, 100]","[100, 100]","[5, 0.9910171922241465]","[2, 0.00565642361722747]","[1, 1.0]","[1, 1.0]","[1, 2.3373284271064863e-09]","[1, 0.9934864577210898]","[100, 100]","[5, 5.499635664534144e-07]","[5, 1.947776842571581e-12]","[4, 2.9371402989241907e-13]","[1, 0.9974122647236442]"
Conversational turns:CP,"[4, 0.0605530664836069]","[2, 0.07662259197658335]","[2, 0.038874076190103]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.12620457922407957]","[1, 0.9991793862845]","[1, 1.0]","[5, 0.7160298378635597]","[1, 1.0]","[4, 7.050408556385768e-16]","[1, 0.9962392098737062]","[1, 1.0]","[100, 100]","[4, 0.9999999999993902]","[2, 0.9999999064986754]","[1, 2.6532162285621945e-07]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[3, 0.9999999999287915]","[1, 1.0]","[1, 0.999334070585282]","[1, 0.9934851556159329]","[5, 1.2121950749321042e-06]","[4, 0.9999999997978742]","[100, 100]","[1, 0.9948283929219152]","[1, 0.998817364955494]","[2, 0.06736277213776767]"
Conversational turns:PCP,"[1, 0.9983175654724421]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[5, 0.41752324292181664]","[1, 0.9969988932213506]","[1, 1.0]","[5, 0.22466557927716485]","[1, 1.0]","[1, 1.0]","[1, 0.9942530290398682]","[1, 1.0]","[100, 100]","[4, 0.999999999877181]","[2, 0.00410760595496056]","[1, 1.0]","[4, 0.9999999999979889]","[100, 100]","[100, 100]","[4, 0.9999999999979889]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 0.9900445776214282]","[5, 1.2675978652412432e-17]","[1, 0.9975859267662327]","[1, 0.9975859267662327]","[100, 100]","[1, 1.0]","[1, 0.9960448071714505]"
Conversational turns:CPC,"[1, 1.0]","[2, 0.00010581204968673161]","[3, 4.038301901684739e-05]","[100, 100]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 0.026528803895503213]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[4, 3.684074322729859e-91]","[1, 1.0]","[1, 1.0]","[100, 100]","[1, 1.0]","[1, 1.0]","[4, 1.2244296551039509e-31]","[1, 1.0]","[100, 100]","[100, 100]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[1, 1.0]","[100, 100]","[2, 6.446557368313642e-05]"
Joint attention:tablet,"[4, 0.00013811058244822362]","[5, 0.7778651714064178]","[1, 2.5648240028371146e-06]","[100, 100]","[1, 1.0]","[5, 0.9998067945024348]","[100, 100]","[5, 0.018998660050320804]","[1, 1.0]","[1, 1.0]","[2, 0.07997374346243791]","[5, 0.09315360769958426]","[1, 1.0]","[5, 0.2986704489436147]","[5, 0.09315360769958426]","[100, 100]","[1, 1.0]","[3, 0.633864674776502]","[4, 0.012557127619041854]","[5, 0.06139322598371626]","[100, 100]","[100, 100]","[5, 0.06139322598371626]","[5, 0.6883157226707307]","[2, 0.0017028049402644373]","[5, 0.9998783317723755]","[1, 0.9962212272339144]","[1, 0.9960463604693781]","[3, 0.09745572023003948]","[1, 0.020103336664455615]","[1, 0.9960463604693781]","[2, 6.446557021069236e-05]","[100, 100]"
